employee_id,name,department,date,tasks_completed,hours_worked,quality_score
10014,Ivan D.,QA,2025-01-22,54,40,93%
10015,Sara G.,QA,2025-01-22,46,40,87%
10001,Alice E.,QA,2025-01-29,31,40,86%
10002,Jake L.,QA,2025-01-29,44,40,87%
10003,Lana S.,Packaging,2025-01-29,32,40,85%
10004,Bruce I.,Asssembly,2025-01-29,42,40,85%
10005,Mira C.,Packaging,2025-01-29,39,40,92%
10006,Ethan Z.,Asssembly,2025-01-29,60,40,88%
10007,Nina O.,Packaging,2025-01-29,43,40,99%
10008,Leo R.,Packaging,2025-01-29,46,40,96%
10009,Grace W.,Asssembly,2025-01-29,68,40,88%
10010,Omar J.,Asssembly,2025-01-29,49,40,88%
10011,Tina U.,Packaging,2025-01-29,31,40,94%
10012,Raj V.,Packaging,2025-01-29,54,40,97%
10013,Chloe Y.,Packaging,2025-01-29,42,40,87%
10014,Ivan D.,Packaging,2025-01-29,70,40,92%
10015,Sara G.,Asssembly,2025-01-29,49,40,88%
10001,Alice E.,Packaging,2025-02-05,32,40,96%
10002,Jake L.,Packaging,2025-02-05,57,40,96%
10003,Lana S.,Asssembly,2025-02-05,62,40,95%
10004,Bruce I.,Asssembly,2025-02-05,56,40,100%
10005,Mira C.,Asssembly,2025-02-05,57,40,96%
10006,Ethan Z.,Packaging,2025-02-05,59,40,89%
10007,Nina O.,QA,2025-02-05,41,40,93%
10008,Leo R.,Packaging,2025-02-05,64,40,100%
10009,Grace W.,QA,2025-02-05,57,40,93%
10010,Omar J.,QA,2025-02-05,45,40,87%
10011,Tina U.,QA,2025-02-05,58,40,92%
10012,Raj V.,QA,2025-02-05,66,40,97%
10013,Chloe Y.,QA,2025-02-05,31,40,100%
10014,Ivan D.,QA,2025-02-05,41,40,100%
10015,Sara G.,Asssembly,2025-02-05,52,40,93%
10001,Alice E.,QA,2025-02-12,47,40,93%
10002,Jake L.,Packaging,2025-02-12,30,40,91%
10003,Lana S.,Asssembly,2025-02-12,45,40,98%
10004,Bruce I.,QA,2025-02-12,65,40,92%
10005,Mira C.,Packaging,2025-02-12,60,40,100%
10006,Ethan Z.,QA,2025-02-12,31,40,87%
10007,Nina O.,QA,2025-02-12,44,40,97%
10008,Leo R.,Packaging,2025-02-12,45,40,94%
10009,Grace W.,Packaging,2025-02-12,67,40,96%
10010,Omar J.,QA,2025-02-12,65,40,96%
10011,Tina U.,QA,2025-02-12,65,40,95%
10012,Raj V.,QA,2025-02-12,59,40,93%
10013,Chloe Y.,QA,2025-02-12,46,40,92%
10014,Ivan D.,Asssembly,2025-02-12,42,40,95%
10015,Sara G.,Asssembly,2025-02-12,64,40,90%
10001,Alice E.,Asssembly,2025-02-19,43,40,100%
10002,Jake L.,QA,2025-02-19,67,40,94%
10003,Lana S.,Asssembly,2025-02-19,42,40,94%
10004,Bruce I.,Asssembly,2025-02-19,53,40,90%
10005,Mira C.,QA,2025-02-19,30,40,89%
10006,Ethan Z.,QA,2025-02-19,32,40,86%
10007,Nina O.,Packaging,2025-02-19,48,40,89%
10008,Leo R.,Packaging,2025-02-19,61,40,88%
10009,Grace W.,Asssembly,2025-02-19,66,40,94%
10010,Omar J.,QA,2025-02-19,60,40,99%
10011,Tina U.,QA,2025-02-19,41,40,86%
10012,Raj V.,QA,2025-02-19,60,40,88%
10013,Chloe Y.,Asssembly,2025-02-19,55,40,100%
10014,Ivan D.,Asssembly,2025-02-19,66,40,86%
10015,Sara G.,Asssembly,2025-02-19,39,40,94%
10001,Alice E.,Asssembly,2025-02-26,45,40,88%
10002,Jake L.,Packaging,2025-02-26,56,40,92%
10003,Lana S.,Packaging,2025-02-26,54,40,99%
10004,Bruce I.,QA,2025-02-26,49,40,98%
10005,Mira C.,QA,2025-02-26,66,40,86%
10006,Ethan Z.,Packaging,2025-02-26,36,40,91%
10007,Nina O.,Packaging,2025-02-26,43,40,93%
10008,Leo R.,Packaging,2025-02-26,35,40,90%
10009,Grace W.,Asssembly,2025-02-26,41,40,87%
10010,Omar J.,Asssembly,2025-02-26,30,40,98%
10011,Tina U.,QA,2025-02-26,68,40,100%
10012,Raj V.,QA,2025-02-26,32,40,92%
10013,Chloe Y.,QA,2025-02-26,48,40,99%
10014,Ivan D.,Asssembly,2025-02-26,44,40,93%
10015,Sara G.,Packaging,2025-02-26,67,40,91%
10001,Alice E.,QA,2025-03-05,37,40,92%
10002,Jake L.,Packaging,2025-03-05,39,40,93%
10003,Lana S.,Asssembly,2025-03-05,34,40,86%
10004,Bruce I.,Asssembly,2025-03-05,49,40,94%
10005,Mira C.,QA,2025-03-05,37,40,99%
10006,Ethan Z.,Packaging,2025-03-05,49,40,97%
10007,Nina O.,QA,2025-03-05,62,40,100%
10008,Leo R.,QA,2025-03-05,35,40,86%
10009,Grace W.,QA,2025-03-05,50,40,93%
10010,Omar J.,Asssembly,2025-03-05,35,40,92%
10011,Tina U.,Packaging,2025-03-05,66,40,85%
10012,Raj V.,Packaging,2025-03-05,47,40,86%
10013,Chloe Y.,Asssembly,2025-03-05,60,40,99%
10014,Ivan D.,QA,2025-03-05,41,40,98%
10015,Sara G.,Packaging,2025-03-05,61,40,87%
10001,Alice E.,QA,2025-03-12,52,40,98%
10002,Jake L.,QA,2025-03-12,50,40,88%
10003,Lana S.,Asssembly,2025-03-12,51,40,98%
10004,Bruce I.,Packaging,2025-03-12,61,40,94%
10005,Mira C.,Packaging,2025-03-12,55,40,86%
10006,Ethan Z.,QA,2025-03-12,35,40,95%
10007,Nina O.,QA,2025-03-12,50,40,88%
10008,Leo R.,QA,2025-03-12,62,40,85%
10009,Grace W.,Packaging,2025-03-12,64,40,99%
10010,Omar J.,QA,2025-03-12,33,40,91%
10011,Tina U.,Packaging,2025-03-12,53,40,100%
10012,Raj V.,Packaging,2025-03-12,58,40,86%
10013,Chloe Y.,Asssembly,2025-03-12,47,40,89%
10014,Ivan D.,QA,2025-03-12,58,40,100%
10015,Sara G.,Asssembly,2025-03-12,31,40,92%
10001,Alice E.,Packaging,2025-03-19,40,40,94%
10002,Jake L.,Packaging,2025-03-19,30,40,98%
10003,Lana S.,Asssembly,2025-03-19,44,40,88%
10004,Bruce I.,QA,2025-03-19,37,40,89%
10005,Mira C.,QA,2025-03-19,48,40,93%
10006,Ethan Z.,QA,2025-03-19,60,40,100%
10007,Nina O.,Asssembly,2025-03-19,59,40,89%
10008,Leo R.,QA,2025-03-19,42,40,89%
10009,Grace W.,Asssembly,2025-03-19,47,40,98%
10010,Omar J.,QA,2025-03-19,62,40,93%
10011,Tina U.,Asssembly,2025-03-19,48,40,94%
10012,Raj V.,Packaging,2025-03-19,67,40,100%
10013,Chloe Y.,Asssembly,2025-03-19,58,40,100%
10014,Ivan D.,QA,2025-03-19,51,40,97%
10015,Sara G.,QA,2025-03-19,50,40,91%
10001,Alice E.,Packaging,2025-03-26,45,40,97%
10002,Jake L.,Asssembly,2025-03-26,56,40,86%
10003,Lana S.,QA,2025-03-26,60,40,97%
10004,Bruce I.,QA,2025-03-26,39,40,100%
10005,Mira C.,Asssembly,2025-03-26,38,40,95%
10006,Ethan Z.,Asssembly,2025-03-26,58,40,88%
10007,Nina O.,Packaging,2025-03-26,59,40,85%
10008,Leo R.,Packaging,2025-03-26,39,40,98%
10009,Grace W.,Packaging,2025-03-26,39,40,87%
10010,Omar J.,QA,2025-03-26,46,40,95%
10011,Tina U.,Packaging,2025-03-26,55,40,87%
10012,Raj V.,QA,2025-03-26,64,40,97%
10013,Chloe Y.,QA,2025-03-26,70,40,100%
10014,Ivan D.,Packaging,2025-03-26,32,40,87%
10015,Sara G.,Asssembly,2025-03-26,70,40,94%
10001,Alice E.,Asssembly,2025-04-02,35,40,98%
10002,Jake L.,Asssembly,2025-04-02,70,40,88%
10003,Lana S.,QA,2025-04-02,40,40,94%
10004,Bruce I.,Asssembly,2025-04-02,32,40,95%
10005,Mira C.,Asssembly,2025-04-02,48,40,96%
10006,Ethan Z.,QA,2025-04-02,57,40,89%
10007,Nina O.,Asssembly,2025-04-02,63,40,98%
10008,Leo R.,Packaging,2025-04-02,41,40,90%
10009,Grace W.,Asssembly,2025-04-02,35,40,97%
10010,Omar J.,Packaging,2025-04-02,45,40,100%
10011,Tina U.,Packaging,2025-04-02,39,40,92%
10012,Raj V.,QA,2025-04-02,70,40,93%
10013,Chloe Y.,QA,2025-04-02,46,40,85%
10014,Ivan D.,QA,2025-04-02,48,40,90%
10015,Sara G.,Asssembly,2025-04-02,58,40,96%
10001,Alice E.,Packaging,2025-04-09,49,40,98%
10002,Jake L.,Packaging,2025-04-09,46,40,99%
10003,Lana S.,QA,2025-04-09,42,40,97%
10004,Bruce I.,QA,2025-04-09,36,40,92%
10005,Mira C.,QA,2025-04-09,66,40,96%
10006,Ethan Z.,Packaging,2025-04-09,48,40,94%
10007,Nina O.,Asssembly,2025-04-09,55,40,93%
10008,Leo R.,Asssembly,2025-04-09,66,40,86%
10009,Grace W.,Packaging,2025-04-09,61,40,94%
10010,Omar J.,Asssembly,2025-04-09,68,40,96%
10011,Tina U.,Asssembly,2025-04-09,70,40,91%
10012,Raj V.,Packaging,2025-04-09,46,40,89%
10013,Chloe Y.,Packaging,2025-04-09,36,40,86%
10014,Ivan D.,QA,2025-04-09,58,40,86%
10015,Sara G.,Packaging,2025-04-09,53,40,89%
10001,Alice E.,Asssembly,2025-04-16,48,40,95%
10002,Jake L.,Packaging,2025-04-16,56,40,90%
10003,Lana S.,Asssembly,2025-04-16,38,40,96%
10004,Bruce I.,Packaging,2025-04-16,62,40,93%
10005,Mira C.,Asssembly,2025-04-16,46,40,100%
10006,Ethan Z.,QA,2025-04-16,51,40,88%
10007,Nina O.,QA,2025-04-16,34,40,89%
10008,Leo R.,Asssembly,2025-04-16,55,40,96%
10009,Grace W.,Asssembly,2025-04-16,55,40,85%
10010,Omar J.,QA,2025-04-16,64,40,88%
10011,Tina U.,QA,2025-04-16,53,40,93%
10012,Raj V.,Packaging,2025-04-16,54,40,96%
10013,Chloe Y.,Asssembly,2025-04-16,44,40,100%
10014,Ivan D.,Asssembly,2025-04-16,69,40,95%
10015,Sara G.,Packaging,2025-04-16,44,40,87%
10001,Alice E.,Packaging,2025-04-23,59,40,94%
10002,Jake L.,Packaging,2025-04-23,56,40,88%
10003,Lana S.,Asssembly,2025-04-23,32,40,86%
10004,Bruce I.,QA,2025-04-23,61,40,88%
10005,Mira C.,Asssembly,2025-04-23,45,40,89%
10006,Ethan Z.,QA,2025-04-23,59,40,96%
10007,Nina O.,Packaging,2025-04-23,64,40,98%
10008,Leo R.,Packaging,2025-04-23,39,40,98%
10009,Grace W.,Packaging,2025-04-23,36,40,100%
10010,Omar J.,Packaging,2025-04-23,56,40,93%
10011,Tina U.,Asssembly,2025-04-23,53,40,91%
10012,Raj V.,QA,2025-04-23,58,40,92%
10013,Chloe Y.,QA,2025-04-23,36,40,96%
10014,Ivan D.,Packaging,2025-04-23,52,40,86%
10015,Sara G.,QA,2025-04-23,47,40,91%
10001,Alice E.,Asssembly,2025-04-30,59,40,87%
10002,Jake L.,Packaging,2025-04-30,43,40,85%
10003,Lana S.,Asssembly,2025-04-30,51,40,92%
10004,Bruce I.,Asssembly,2025-04-30,66,40,91%
10005,Mira C.,Asssembly,2025-04-30,65,40,91%
10006,Ethan Z.,Packaging,2025-04-30,43,40,92%
10007,Nina O.,QA,2025-04-30,39,40,85%
10008,Leo R.,QA,2025-04-30,39,40,89%
10009,Grace W.,Packaging,2025-04-30,46,40,90%
10010,Omar J.,Asssembly,2025-04-30,31,40,89%
10011,Tina U.,Asssembly,2025-04-30,52,40,92%
10012,Raj V.,Packaging,2025-04-30,50,40,85%
10013,Chloe Y.,Asssembly,2025-04-30,46,40,86%
10014,Ivan D.,Asssembly,2025-04-30,56,40,88%
10015,Sara G.,Packaging,2025-04-30,34,40,100%
10001,Alice E.,QA,2025-05-07,53,40,88%
10002,Jake L.,QA,2025-05-07,62,40,92%
10003,Lana S.,Packaging,2025-05-07,32,40,94%
10004,Bruce I.,QA,2025-05-07,31,40,86%
10005,Mira C.,QA,2025-05-07,55,40,98%
10006,Ethan Z.,Packaging,2025-05-07,36,40,100%
10007,Nina O.,Packaging,2025-05-07,58,40,87%
10008,Leo R.,Asssembly,2025-05-07,50,40,89%
10009,Grace W.,Asssembly,2025-05-07,38,40,93%
10010,Omar J.,Packaging,2025-05-07,70,40,95%
10011,Tina U.,QA,2025-05-07,68,40,94%
10012,Raj V.,QA,2025-05-07,62,40,98%
10013,Chloe Y.,Asssembly,2025-05-07,37,40,91%
10014,Ivan D.,QA,2025-05-07,58,40,92%
10015,Sara G.,QA,2025-05-07,51,40,99%
10001,Alice E.,QA,2025-05-14,56,40,88%
10002,Jake L.,QA,2025-05-14,57,40,95%
10003,Lana S.,Packaging,2025-05-14,46,40,96%
10004,Bruce I.,Asssembly,2025-05-14,60,40,87%
10005,Mira C.,Asssembly,2025-05-14,35,40,87%
10006,Ethan Z.,QA,2025-05-14,36,40,96%
10007,Nina O.,Asssembly,2025-05-14,65,40,86%
10008,Leo R.,Packaging,2025-05-14,65,40,95%
10009,Grace W.,Packaging,2025-05-14,37,40,98%
10010,Omar J.,QA,2025-05-14,57,40,86%
10011,Tina U.,QA,2025-05-14,68,40,94%
10012,Raj V.,QA,2025-05-14,36,40,91%
10013,Chloe Y.,Asssembly,2025-05-14,60,40,92%
10014,Ivan D.,Asssembly,2025-05-14,52,40,96%
10015,Sara G.,Asssembly,2025-05-14,47,40,92%
10001,Alice E.,QA,2025-05-21,65,40,85%
10002,Jake L.,Packaging,2025-05-21,47,40,85%
10003,Lana S.,Asssembly,2025-05-21,47,40,94%
10004,Bruce I.,QA,2025-05-21,52,40,85%
10005,Mira C.,Asssembly,2025-05-21,39,40,97%
10006,Ethan Z.,Asssembly,2025-05-21,39,40,85%
10007,Nina O.,Asssembly,2025-05-21,63,40,91%
10008,Leo R.,QA,2025-05-21,56,40,99%
10009,Grace W.,QA,2025-05-21,40,40,96%
10010,Omar J.,QA,2025-05-21,50,40,87%
10011,Tina U.,Asssembly,2025-05-21,39,40,90%
10012,Raj V.,Packaging,2025-05-21,33,40,87%
10013,Chloe Y.,QA,2025-05-21,58,40,98%
10014,Ivan D.,QA,2025-05-21,68,40,99%
10015,Sara G.,QA,2025-05-21,47,40,91%
10001,Alice E.,Packaging,2025-05-28,37,40,96%
10002,Jake L.,QA,2025-05-28,37,40,94%
10003,Lana S.,Packaging,2025-05-28,67,40,100%
10004,Bruce I.,Packaging,2025-05-28,49,40,86%
10005,Mira C.,Asssembly,2025-05-28,55,40,86%
10006,Ethan Z.,Asssembly,2025-05-28,43,40,94%
10007,Nina O.,Asssembly,2025-05-28,38,40,93%
10008,Leo R.,QA,2025-05-28,50,40,88%
10009,Grace W.,Asssembly,2025-05-28,61,40,98%
10010,Omar J.,Asssembly,2025-05-28,38,40,97%
10011,Tina U.,Packaging,2025-05-28,44,40,96%
10012,Raj V.,Asssembly,2025-05-28,55,40,86%
10013,Chloe Y.,QA,2025-05-28,31,40,99%
10014,Ivan D.,Asssembly,2025-05-28,50,40,98%
10015,Sara G.,Packaging,2025-05-28,55,40,98%
10001,Alice E.,QA,2025-06-04,37,40,97%
10002,Jake L.,Asssembly,2025-06-04,50,40,90%
10003,Lana S.,Packaging,2025-06-04,59,40,96%
10004,Bruce I.,Asssembly,2025-06-04,57,40,88%
10005,Mira C.,Asssembly,2025-06-04,57,40,97%
10006,Ethan Z.,Packaging,2025-06-04,35,40,97%
10007,Nina O.,QA,2025-06-04,51,40,92%
10008,Leo R.,QA,2025-06-04,40,40,87%
10009,Grace W.,Packaging,2025-06-04,70,40,88%
10010,Omar J.,Packaging,2025-06-04,62,40,91%
10011,Tina U.,QA,2025-06-04,52,40,89%
10012,Raj V.,Asssembly,2025-06-04,36,40,89%
10013,Chloe Y.,QA,2025-06-04,42,40,90%
10014,Ivan D.,Packaging,2025-06-04,39,40,87%
10015,Sara G.,Asssembly,2025-06-04,70,40,100%
10001,Alice E.,QA,2025-06-11,66,40,99%
10002,Jake L.,Packaging,2025-06-11,66,40,95%
10003,Lana S.,Packaging,2025-06-11,50,40,89%
10004,Bruce I.,QA,2025-06-11,34,40,100%
10005,Mira C.,QA,2025-06-11,70,40,94%
10006,Ethan Z.,QA,2025-06-11,67,40,86%
10007,Nina O.,QA,2025-06-11,62,40,87%
10008,Leo R.,QA,2025-06-11,59,40,99%
10009,Grace W.,Asssembly,2025-06-11,33,40,96%
10010,Omar J.,QA,2025-06-11,34,40,87%
10011,Tina U.,Packaging,2025-06-11,68,40,97%
10012,Raj V.,QA,2025-06-11,67,40,86%
10013,Chloe Y.,QA,2025-06-11,66,40,91%
10014,Ivan D.,QA,2025-06-11,68,40,100%
10015,Sara G.,Packaging,2025-06-11,39,40,86%
10001,Alice E.,QA,2025-06-18,36,40,95%
10002,Jake L.,Packaging,2025-06-18,35,40,90%
10003,Lana S.,Asssembly,2025-06-18,45,40,99%
10004,Bruce I.,QA,2025-06-18,63,40,90%
10005,Mira C.,QA,2025-06-18,53,40,94%
10006,Ethan Z.,QA,2025-06-18,56,40,95%
10007,Nina O.,Packaging,2025-06-18,68,40,86%
10008,Leo R.,Packaging,2025-06-18,51,40,87%
10009,Grace W.,QA,2025-06-18,36,40,97%
10010,Omar J.,QA,2025-06-18,46,40,89%
10011,Tina U.,QA,2025-06-18,35,40,89%
10012,Raj V.,QA,2025-06-18,49,40,97%
10013,Chloe Y.,Asssembly,2025-06-18,68,40,87%
10014,Ivan D.,QA,2025-06-18,65,40,97%
10015,Sara G.,Packaging,2025-06-18,51,40,89%
10001,Alice E.,Packaging,2025-06-25,63,40,87%
10002,Jake L.,Packaging,2025-06-25,57,40,96%
10003,Lana S.,Asssembly,2025-06-25,53,40,94%
10004,Bruce I.,Asssembly,2025-06-25,43,40,95%
10005,Mira C.,QA,2025-06-25,42,40,92%
10006,Ethan Z.,Asssembly,2025-06-25,39,40,87%
10007,Nina O.,QA,2025-06-25,36,40,86%
10008,Leo R.,Packaging,2025-06-25,51,40,89%
10009,Grace W.,Packaging,2025-06-25,54,40,89%
10010,Omar J.,Asssembly,2025-06-25,41,40,90%
10011,Tina U.,Packaging,2025-06-25,58,40,86%
10012,Raj V.,QA,2025-06-25,53,40,92%
10013,Chloe Y.,QA,2025-06-25,69,40,94%
10014,Ivan D.,Packaging,2025-06-25,58,40,92%
10015,Sara G.,Packaging,2025-06-25,45,40,94%
10001,Alice E.,QA,2025-07-02,42,40,96%
10002,Jake L.,Packaging,2025-07-02,66,40,99%
10003,Lana S.,QA,2025-07-02,48,40,97%
10004,Bruce I.,Packaging,2025-07-02,63,40,98%
10005,Mira C.,Asssembly,2025-07-02,42,40,89%
10006,Ethan Z.,QA,2025-07-02,33,40,100%
10007,Nina O.,QA,2025-07-02,65,40,88%
10008,Leo R.,Packaging,2025-07-02,63,40,88%
10009,Grace W.,QA,2025-07-02,35,40,90%
10010,Omar J.,QA,2025-07-02,58,40,89%
10011,Tina U.,QA,2025-07-02,35,40,92%
10012,Raj V.,QA,2025-07-02,52,40,85%
10013,Chloe Y.,QA,2025-07-02,33,40,97%
10014,Ivan D.,Packaging,2025-07-02,53,40,92%
10015,Sara G.,QA,2025-07-02,35,40,96%
10001,Alice E.,Asssembly,2025-07-09,31,40,95%
10002,Jake L.,Asssembly,2025-07-09,51,40,89%
10003,Lana S.,Asssembly,2025-07-09,32,40,94%
10004,Bruce I.,QA,2025-07-09,38,40,100%
10005,Mira C.,QA,2025-07-09,69,40,85%
10006,Ethan Z.,Asssembly,2025-07-09,31,40,93%
10007,Nina O.,Asssembly,2025-07-09,39,40,98%
10008,Leo R.,Asssembly,2025-07-09,48,40,92%
10009,Grace W.,QA,2025-07-09,37,40,86%
10010,Omar J.,Asssembly,2025-07-09,56,40,99%
10011,Tina U.,Asssembly,2025-07-09,37,40,100%
10012,Raj V.,Packaging,2025-07-09,64,40,85%
10013,Chloe Y.,Packaging,2025-07-09,62,40,92%
10014,Ivan D.,Packaging,2025-07-09,39,40,94%
10015,Sara G.,QA,2025-07-09,30,40,96%
10001,Alice E.,Asssembly,2025-07-16,66,40,98%
10002,Jake L.,Asssembly,2025-07-16,35,40,96%
10003,Lana S.,Asssembly,2025-07-16,63,40,85%
10004,Bruce I.,QA,2025-07-16,60,40,86%
10005,Mira C.,Packaging,2025-07-16,54,40,96%
10006,Ethan Z.,QA,2025-07-16,31,40,96%
10007,Nina O.,Asssembly,2025-07-16,52,40,92%
10008,Leo R.,Packaging,2025-07-16,70,40,88%
10009,Grace W.,Packaging,2025-07-16,51,40,89%
10010,Omar J.,Asssembly,2025-07-16,52,40,95%
10011,Tina U.,Packaging,2025-07-16,41,40,99%
10012,Raj V.,Packaging,2025-07-16,60,40,90%
10013,Chloe Y.,Asssembly,2025-07-16,34,40,99%
10014,Ivan D.,Asssembly,2025-07-16,48,40,91%
10015,Sara G.,Asssembly,2025-07-16,42,40,86%
10001,Alice E.,QA,2025-07-23,49,40,97%
10002,Jake L.,Packaging,2025-07-23,60,40,93%
10003,Lana S.,Asssembly,2025-07-23,42,40,94%
10004,Bruce I.,QA,2025-07-23,33,40,95%
10005,Mira C.,QA,2025-07-23,37,40,96%
10006,Ethan Z.,QA,2025-07-23,55,40,99%
10007,Nina O.,QA,2025-07-23,51,40,90%
10008,Leo R.,QA,2025-07-23,61,40,96%
10009,Grace W.,Packaging,2025-07-23,47,40,87%
10010,Omar J.,Packaging,2025-07-23,57,40,87%
10011,Tina U.,QA,2025-07-23,68,40,90%
10012,Raj V.,Packaging,2025-07-23,48,40,95%
10013,Chloe Y.,Asssembly,2025-07-23,35,40,95%
10014,Ivan D.,Packaging,2025-07-23,48,40,94%
10015,Sara G.,QA,2025-07-23,68,40,98%
10001,Alice E.,Asssembly,2025-07-30,58,40,96%
10002,Jake L.,QA,2025-07-30,32,40,96%
10003,Lana S.,Packaging,2025-07-30,57,40,93%
10004,Bruce I.,Packaging,2025-07-30,33,40,87%
10005,Mira C.,Packaging,2025-07-30,70,40,97%
10006,Ethan Z.,QA,2025-07-30,62,40,90%
10007,Nina O.,Asssembly,2025-07-30,39,40,99%
10008,Leo R.,Asssembly,2025-07-30,38,40,87%
10009,Grace W.,Asssembly,2025-07-30,53,40,96%
10010,Omar J.,QA,2025-07-30,66,40,86%
10011,Tina U.,Packaging,2025-07-30,39,40,99%
10012,Raj V.,QA,2025-07-30,53,40,99%
10013,Chloe Y.,Asssembly,2025-07-30,66,40,89%
10014,Ivan D.,Packaging,2025-07-30,53,40,97%
10015,Sara G.,QA,2025-07-30,47,40,92%
10001,Alice E.,Asssembly,2025-08-06,31,40,90%
10002,Jake L.,QA,2025-08-06,63,40,97%
10003,Lana S.,Packaging,2025-08-06,37,40,93%
10004,Bruce I.,QA,2025-08-06,58,40,91%
10005,Mira C.,Packaging,2025-08-06,48,40,100%
10006,Ethan Z.,Asssembly,2025-08-06,37,40,89%
10007,Nina O.,Asssembly,2025-08-06,58,40,90%
10008,Leo R.,Packaging,2025-08-06,58,40,87%
10009,Grace W.,Packaging,2025-08-06,50,40,96%
10010,Omar J.,Packaging,2025-08-06,34,40,94%
10011,Tina U.,QA,2025-08-06,40,40,90%
10012,Raj V.,QA,2025-08-06,62,40,92%
10013,Chloe Y.,Asssembly,2025-08-06,42,40,89%
10014,Ivan D.,Asssembly,2025-08-06,61,40,85%
10015,Sara G.,QA,2025-08-06,65,40,96%
10001,Alice E.,QA,2025-08-13,65,40,89%
10002,Jake L.,Packaging,2025-08-13,35,40,87%
10003,Lana S.,QA,2025-08-13,55,40,100%
10004,Bruce I.,Packaging,2025-08-13,56,40,98%
10005,Mira C.,Packaging,2025-08-13,34,40,89%
10006,Ethan Z.,QA,2025-08-13,34,40,99%
10007,Nina O.,QA,2025-08-13,63,40,96%
10008,Leo R.,Asssembly,2025-08-13,65,40,90%
10009,Grace W.,Asssembly,2025-08-13,57,40,86%
10010,Omar J.,Asssembly,2025-08-13,63,40,89%
10011,Tina U.,QA,2025-08-13,40,40,90%
10012,Raj V.,QA,2025-08-13,44,40,96%
10013,Chloe Y.,Packaging,2025-08-13,48,40,87%
10014,Ivan D.,QA,2025-08-13,42,40,93%
10015,Sara G.,Asssembly,2025-08-13,70,40,94%
10001,Alice E.,Packaging,2025-08-20,64,40,87%
10002,Jake L.,Packaging,2025-08-20,40,40,89%
10003,Lana S.,Asssembly,2025-08-20,69,40,95%
10004,Bruce I.,Packaging,2025-08-20,32,40,85%
